"stationID","datetimeUTC","voltage_V","h2Temp_C","stage_ft","LSU","telem_source","basinPair"
"FE","2021-10-06 12:05:00",12.7,6.9,0.03,100,"GOES","Fish Creek"
"CW","2021-10-06 12:05:00",12.7,1.6,0.03,100,"GOES","Coxit"
"CE","2021-10-06 12:05:00",12.7,1.2,0.03,100,"GOES","Coxit"
"BN","2021-10-07 00:05:00",12.8,7.9,0.01,100,"GOES","Blue Grouse"
"TW","2021-10-07 00:05:00",12.8,6.5,0.03,100,"GOES","Tripps Knob"
"FW","2021-10-07 00:05:00",12.7,4.6,0.05,100,"GOES","Fish Creek"
"FE","2021-10-07 00:05:00",12.7,4.9,0.03,100,"GOES","Fish Creek"
"CW","2021-10-07 00:05:00",12.7,6,0.03,100,"GOES","Coxit"
"CE","2021-10-07 00:05:00",12.8,6.9,0.03,100,"GOES","Coxit"
"BN","2021-10-07 12:05:00",12.7,1,0.01,100,"GOES","Blue Grouse"
"TW","2021-10-07 12:05:00",12.8,-0.5,0.03,100,"GOES","Tripps Knob"
"FE","2021-10-07 12:05:00",12.7,-0.1,0.04,100,"GOES","Fish Creek"
"CW","2021-10-07 12:05:00",12.7,-1.3,0.03,100,"GOES","Coxit"
"CE","2021-10-07 12:05:00",12.6,-2.1,0.03,100,"GOES","Coxit"
"BN","2021-10-08 00:05:00",12.7,7.9,0,100,"GOES","Blue Grouse"
"TW","2021-10-08 00:05:00",12.8,6,0.03,100,"GOES","Tripps Knob"
"FW","2021-10-08 00:05:00",12.7,5.8,0.04,100,"GOES","Fish Creek"
"FE","2021-10-08 00:05:00",12.7,5.4,0.03,100,"GOES","Fish Creek"
"CW","2021-10-08 00:05:00",12.7,4.6,0.03,100,"GOES","Coxit"
"CE","2021-10-08 00:05:00",12.8,6.1,0.03,100,"GOES","Coxit"
"BN","2021-10-08 12:05:00",12.7,-0.6,0.01,100,"GOES","Blue Grouse"
"TW","2021-10-08 12:05:00",12.8,-0.8,0.03,100,"GOES","Tripps Knob"
"FW","2021-10-08 12:05:00",12.7,0.6,0.04,100,"GOES","Fish Creek"
"FE","2021-10-08 12:05:00",12.7,-0.6,0.03,100,"GOES","Fish Creek"
"CW","2021-10-08 12:05:00",12.7,-1.9,0.03,100,"GOES","Coxit"
"CE","2021-10-08 12:05:00",12.6,-2.9,0.03,100,"GOES","Coxit"
"BN","2021-10-09 00:05:00",12.7,7,0,100,"GOES","Blue Grouse"
"TW","2021-10-09 00:05:00",12.8,6.3,0.03,100,"GOES","Tripps Knob"
"FW","2021-10-09 00:05:00",12.7,7.1,0.04,100,"GOES","Fish Creek"
"FE","2021-10-09 00:05:00",12.7,6.4,0.03,100,"GOES","Fish Creek"
"CW","2021-10-09 00:05:00",12.7,4.3,0.03,100,"GOES","Coxit"
"CE","2021-10-09 00:05:00",12.8,5.6,0.03,100,"GOES","Coxit"
"BN","2021-10-09 12:05:00",12.7,-0.1,0,100,"GOES","Blue Grouse"
