"stationID","datetimeUTC","telem_source","voltage_V","h2Temp_C","stage_ft","LSU","basinPair"
"BN","2023-10-02 23:00:00","Iridium",13.6,16,"0",3,"Blue Grouse"
"FW","2023-10-02 12:00:00","Iridium",12.7,6.2,"0.04",100,"Fish Creek"
"TE","2023-10-02 23:00:00","Iridium",13.3,12.5,"0.06",21,"Tripps Knob"
"TW","2023-09-25 23:00:00","Iridium",12.5,12.6,"0.02",100,"Tripps Knob"
"BN","2023-10-03 23:00:00","Iridium",13.7,15.5,"0",3,"Blue Grouse"
"TW","2023-10-03 23:00:00","Iridium",12.4,10.4,"0.02",1,"Tripps Knob"
"FW","2023-10-04 12:00:00","Iridium",12.7,9,"0.04",100,"Fish Creek"
"BN","2023-10-04 23:00:00","Iridium",13.6,17.6,"0",3,"Blue Grouse"
"FW","2023-10-05 12:00:00","Iridium",12.7,8.8,"0.04",100,"Fish Creek"
"BN","2023-10-06 23:00:00","Iridium",13.4,17.9,"0",3,"Blue Grouse"
"TE","2023-10-06 23:00:00","Iridium",13.2,17.9,"0.06",21,"Tripps Knob"
"FW","2023-10-07 12:00:00","Iridium",12.7,7.4,"0.04",100,"Fish Creek"
"BN","2023-10-07 23:00:00","Iridium",13.4,19.7,"0",3,"Blue Grouse"
"TE","2023-10-07 23:00:00","Iridium",13.2,18,"0.06",21,"Tripps Knob"
"TW","2023-10-07 23:00:00","Iridium",12.4,12.1,"0.02",1,"Tripps Knob"
"FW","2023-10-08 12:00:00","Iridium",12.7,8.8,"0.04",100,"Fish Creek"
"BN","2023-10-08 23:00:00","Iridium",13.4,19.7,"0",3,"Blue Grouse"
"TE","2023-10-08 23:00:00","Iridium",13.2,18.7,"0.06",21,"Tripps Knob"
"TW","2023-10-08 23:00:00","Iridium",12.4,13.3,"0.02",1,"Tripps Knob"
"BN","2023-10-09 23:00:00","Iridium",13.8,22.3,"0",3,"Blue Grouse"
"FW","2023-10-09 12:00:00","Iridium",12.7,10.2,"0.04",100,"Fish Creek"
"TE","2023-10-09 23:00:00","Iridium",13.2,16.7,"0.06",21,"Tripps Knob"
"TW","2023-10-09 23:00:00","Iridium",12.4,13.8,"0.02",1,"Tripps Knob"
"BN","2023-10-12 23:00:00","Iridium",13.7,10.5,"0.01",4,"Blue Grouse"
"FW","2023-10-12 12:00:00","Iridium",12.6,3,"0.04",100,"Fish Creek"
"TE","2023-10-12 23:00:00","Iridium",13.2,8.7,"0.07",21,"Tripps Knob"
"TW","2023-10-12 23:00:00","Iridium",12.3,6.7,"0.03",1,"Tripps Knob"
"FW","2023-10-13 12:00:00","Iridium",12.6,3.7,"0.05",100,"Fish Creek"
"BN","2023-10-13 23:00:00","Iridium",13.8,15.5,"0",4,"Blue Grouse"
"TE","2023-10-13 23:00:00","Iridium",13.3,12.2,"0.06",21,"Tripps Knob"
"TW","2023-10-13 23:00:00","Iridium",12.3,8.3,"0.03",1,"Tripps Knob"
"FW","2023-10-14 12:00:00","Iridium",12.6,5.7,"0.04",100,"Fish Creek"
"BN","2023-10-14 23:00:00","Iridium",13.6,15,"0",4,"Blue Grouse"
"TE","2023-10-14 23:00:00","Iridium",13.3,12.5,"0.06",21,"Tripps Knob"
"BN","2023-10-15 23:00:00","Iridium",13.6,18.6,"0",4,"Blue Grouse"
"TE","2023-10-15 23:00:00","Iridium",13.3,13.7,"0.07",21,"Tripps Knob"
